,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
305,GEOMETRIC_CENTER,"225 Street Station, New York, NY 10034, USA",ChIJ6W279pLzwokRZAkh7GXtz9k,225 ST New York City metro station,40.8743487,-73.91043309999999,1,10034,OK,"establishment,point_of_interest,subway_station,transit_station"
306,GEOMETRIC_CENTER,"233 St, Bronx, NY 10466, USA",ChIJA-6cGifzwokR7oDEv8N7V-M,233 ST New York City metro station,40.8932191,-73.85747719999999,1,10466,OK,"establishment,point_of_interest,subway_station,transit_station"
307,GEOMETRIC_CENTER,"Nereid Av, Bronx, NY 10470, USA",ChIJo1zn59nywokRCu2ClTnIqe4,NEREID AV New York City metro station,40.8984566,-73.8542993,1,10470,OK,"establishment,point_of_interest,subway_station,transit_station"
308,GEOMETRIC_CENTER,"241 Street Station, Bronx, NY 10470, USA",ChIJM_TmzNHywokR2WYmgb0rF38,WAKEFIELD/241 New York City metro station,40.9035209,-73.8504209,1,10470,OK,"establishment,point_of_interest,subway_station,transit_station"
309,GEOMETRIC_CENTER,"3 Avenue-138 Street Station, Bronx, NY 10454, USA",ChIJu9zDkNz1wokR4VOWTiFp7Js,3 AV 138 ST New York City metro station,40.8104721,-73.9261391,2,10454,OK,"establishment,point_of_interest,subway_station,transit_station"
310,GEOMETRIC_CENTER,"Brook Av, Bronx, NY 10454, USA",ChIJZVFRMsL1wokRkvFLNCKqQv0,BROOK AV New York City metro station,40.8075666,-73.91926629999999,1,10454,OK,"establishment,point_of_interest,subway_station,transit_station"
311,GEOMETRIC_CENTER,"Cypress Av, Bronx, NY 10454, USA",ChIJtfC-PcD1wokRCobElAYFCMA,CYPRESS AV New York City metro station,40.8052426,-73.9137116,1,10454,OK,"establishment,point_of_interest,subway_station,transit_station"
312,GEOMETRIC_CENTER,"E 143 St Station, Bronx, NY 10454, USA",ChIJA6t9TLn1wokRtTh66ei3868,E 143/ST MARY'S New York City metro station,40.8082006,-73.9078528,1,10454,OK,"establishment,point_of_interest,subway_station,transit_station"
313,GEOMETRIC_CENTER,"3 Av - 149 St, Bronx, NY 10455, USA",ChIJRTrPt8j1wokRhI69E1Ll5vE,E 149 ST New York City metro station,40.8160451,-73.9179347,1,10455,OK,"establishment,point_of_interest,subway_station,transit_station"
314,GEOMETRIC_CENTER,"Longwood Av Station, Bronx, NY 10455, USA",ChIJ_Ui7l671wokRadX6P8gpzgE,LONGWOOD AV New York City metro station,40.8163341,-73.89624309999999,1,10455,OK,"establishment,point_of_interest,subway_station,transit_station"
315,GEOMETRIC_CENTER,"Hunts Point Av, Bronx, NY 10474, USA",ChIJJ2YwNVX0wokROwBzJVlEBtw,HUNTS POINT AV New York City metro station,40.8208037,-73.89088120000001,1,10474,OK,"establishment,point_of_interest,subway_station,transit_station"
316,GEOMETRIC_CENTER,"Whitlock Av, Bronx, NY 10459, USA",ChIJsRqW4Pj0wokRaY7Mw5EJ1n8,WHITLOCK AV New York City metro station,40.8267442,-73.8863456,1,10459,OK,"establishment,point_of_interest,subway_station,transit_station"
317,GEOMETRIC_CENTER,"Elder Avenue Station, Elder Ave & Westchester Avenue, Bronx, NY 10472, United States",ChIJBw1vmvr0wokReHabbFGovY4,ELDER AV New York City metro station,40.82859819999999,-73.8791735,1,10472,OK,"establishment,point_of_interest,subway_station,transit_station"
318,APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,MORISN AV/SNDVW New York City metro station,40.7127753,-74.0059728,1,,OK,"locality,political"
319,GEOMETRIC_CENTER,"St Lawrence Av, Bronx, NY 10472, USA",ChIJhTerkOn0wokRQ3bEiAZMFhU,ST LAWRENCE AV New York City metro station,40.8315326,-73.8672593,1,10472,OK,"establishment,point_of_interest,subway_station,transit_station"
